METER_D1_004826,00-00-00-00-00-00-48-26
METER_D1_004864,00-00-00-00-00-00-48-64
METER_D1_004865,00-00-00-00-00-00-48-65
METER_D1_002203,00-00-00-00-00-00-22-03
METER_D1_028811,00-00-00-00-00-02-88-11
METER_D1_002202,00-00-00-00-00-00-22-02
METER_D1_028812,00-00-00-00-00-02-88-12
METER_D1_002201,00-00-00-00-00-00-22-01
METER_D1_004860,00-00-00-00-00-00-48-60
METER_D1_002200,00-00-00-00-00-00-22-00
METER_D1_004861,00-00-00-00-00-00-48-61
METER_D1_028810,00-00-00-00-00-02-88-10
METER_D1_004804,00-00-00-00-00-00-48-04
METER_D1_004805,00-00-00-00-00-00-48-05
METER_D1_004806,00-00-00-00-00-00-48-06
METER_D1_004807,00-00-00-00-00-00-48-07
METER_D1_004800,00-00-00-00-00-00-48-00
METER_D1_004801,00-00-00-00-00-00-48-01
METER_D1_004802,00-00-00-00-00-00-48-02
METER_D1_004803,00-00-00-00-00-00-48-03
METER_D1_004808,00-00-00-00-00-00-48-08
METER_D1_004809,00-00-00-00-00-00-48-09
METER_D1_004810,00-00-00-00-00-00-48-10
METER_D1_004815,00-00-00-00-00-00-48-15
METER_D1_004816,00-00-00-00-00-00-48-16
METER_D1_004817,00-00-00-00-00-00-48-17
METER_D1_004818,00-00-00-00-00-00-48-18
METER_D1_004811,00-00-00-00-00-00-48-11
METER_D1_004812,00-00-00-00-00-00-48-12
METER_D1_004813,00-00-00-00-00-00-48-13
METER_D1_004814,00-00-00-00-00-00-48-14
METER_D1_004819,00-00-00-00-00-00-48-19
METER_D1_016800,00-00-00-00-00-01-68-00
METER_D1_004820,00-00-00-00-00-00-48-20
METER_D1_004821,00-00-00-00-00-00-48-21
METER_D1_026218,00-00-00-00-00-02-62-18
METER_D1_026217,00-00-00-00-00-02-62-17
METER_D1_002249,00-00-00-00-00-00-22-49
METER_D1_028879,00-00-00-00-00-02-88-79
METER_D1_002248,00-00-00-00-00-00-22-48
METER_D1_026219,00-00-00-00-00-02-62-19
METER_D1_016891,00-00-00-00-00-01-68-91
METER_D1_016890,00-00-00-00-00-01-68-90
METER_D1_014232,00-00-00-00-00-01-42-32
METER_D1_016895,00-00-00-00-00-01-68-95
METER_D1_014233,00-00-00-00-00-01-42-33
METER_D1_016894,00-00-00-00-00-01-68-94
METER_D1_014230,00-00-00-00-00-01-42-30
METER_D1_016893,00-00-00-00-00-01-68-93
METER_D1_014231,00-00-00-00-00-01-42-31
METER_D1_016892,00-00-00-00-00-01-68-92
METER_D1_014236,00-00-00-00-00-01-42-36
METER_D1_016899,00-00-00-00-00-01-68-99
METER_D1_014237,00-00-00-00-00-01-42-37
METER_D1_016898,00-00-00-00-00-01-68-98
METER_D1_014234,00-00-00-00-00-01-42-34
METER_D1_016897,00-00-00-00-00-01-68-97
METER_D1_014235,00-00-00-00-00-01-42-35
METER_D1_016896,00-00-00-00-00-01-68-96
METER_D1_014229,00-00-00-00-00-01-42-29
METER_D1_014227,00-00-00-00-00-01-42-27
METER_D1_014228,00-00-00-00-00-01-42-28
METER_D1_016889,00-00-00-00-00-01-68-89
METER_D1_002250,00-00-00-00-00-00-22-50
METER_D1_028880,00-00-00-00-00-02-88-80
METER_D1_028881,00-00-00-00-00-02-88-81
METER_D1_002254,00-00-00-00-00-00-22-54
METER_D1_026221,00-00-00-00-00-02-62-21
METER_D1_028884,00-00-00-00-00-02-88-84
METER_D1_002253,00-00-00-00-00-00-22-53
METER_D1_026220,00-00-00-00-00-02-62-20
METER_D1_028885,00-00-00-00-00-02-88-85
METER_D1_002252,00-00-00-00-00-00-22-52
METER_D1_026223,00-00-00-00-00-02-62-23
METER_D1_028882,00-00-00-00-00-02-88-82
METER_D1_002251,00-00-00-00-00-00-22-51
METER_D1_026222,00-00-00-00-00-02-62-22
METER_D1_028883,00-00-00-00-00-02-88-83
METER_D1_002258,00-00-00-00-00-00-22-58
METER_D1_026225,00-00-00-00-00-02-62-25
METER_D1_028888,00-00-00-00-00-02-88-88
METER_D1_002257,00-00-00-00-00-00-22-57
METER_D1_026224,00-00-00-00-00-02-62-24
METER_D1_028889,00-00-00-00-00-02-88-89
METER_D1_002256,00-00-00-00-00-00-22-56
METER_D1_026227,00-00-00-00-00-02-62-27
METER_D1_028886,00-00-00-00-00-02-88-86
METER_D1_002255,00-00-00-00-00-00-22-55
METER_D1_026226,00-00-00-00-00-02-62-26
METER_D1_028887,00-00-00-00-00-02-88-87
METER_D1_026207,00-00-00-00-00-02-62-07
METER_D1_026206,00-00-00-00-00-02-62-06
METER_D1_026209,00-00-00-00-00-02-62-09
METER_D1_028868,00-00-00-00-00-02-88-68
METER_D1_002259,00-00-00-00-00-00-22-59
METER_D1_026208,00-00-00-00-00-02-62-08
METER_D1_028869,00-00-00-00-00-02-88-69
METER_D1_014240,00-00-00-00-00-01-42-40
METER_D1_014243,00-00-00-00-00-01-42-43
METER_D1_014244,00-00-00-00-00-01-42-44
METER_D1_014241,00-00-00-00-00-01-42-41
METER_D1_014242,00-00-00-00-00-01-42-42
METER_D1_014247,00-00-00-00-00-01-42-47
METER_D1_014248,00-00-00-00-00-01-42-48
METER_D1_014245,00-00-00-00-00-01-42-45
METER_D1_014246,00-00-00-00-00-01-42-46
METER_D1_014238,00-00-00-00-00-01-42-38
METER_D1_014239,00-00-00-00-00-01-42-39
METER_D1_002261,00-00-00-00-00-00-22-61
METER_D1_002260,00-00-00-00-00-00-22-60
METER_D1_028870,00-00-00-00-00-02-88-70
METER_D1_002265,00-00-00-00-00-00-22-65
METER_D1_026210,00-00-00-00-00-02-62-10
METER_D1_028873,00-00-00-00-00-02-88-73
METER_D1_002264,00-00-00-00-00-00-22-64
METER_D1_028874,00-00-00-00-00-02-88-74
METER_D1_002263,00-00-00-00-00-00-22-63
METER_D1_026212,00-00-00-00-00-02-62-12
METER_D1_028871,00-00-00-00-00-02-88-71
METER_D1_002262,00-00-00-00-00-00-22-62
METER_D1_026211,00-00-00-00-00-02-62-11
METER_D1_028872,00-00-00-00-00-02-88-72
METER_D1_002269,00-00-00-00-00-00-22-69
METER_D1_026214,00-00-00-00-00-02-62-14
METER_D1_028877,00-00-00-00-00-02-88-77
METER_D1_002268,00-00-00-00-00-00-22-68
METER_D1_026213,00-00-00-00-00-02-62-13
METER_D1_028878,00-00-00-00-00-02-88-78
METER_D1_002267,00-00-00-00-00-00-22-67
METER_D1_026216,00-00-00-00-00-02-62-16
METER_D1_028875,00-00-00-00-00-02-88-75
METER_D1_002266,00-00-00-00-00-00-22-66
METER_D1_026215,00-00-00-00-00-02-62-15
METER_D1_028876,00-00-00-00-00-02-88-76
METER_D1_026239,00-00-00-00-00-02-62-39
METER_D1_014250,00-00-00-00-00-01-42-50
METER_D1_014251,00-00-00-00-00-01-42-51
METER_D1_014254,00-00-00-00-00-01-42-54
METER_D1_014255,00-00-00-00-00-01-42-55
METER_D1_014252,00-00-00-00-00-01-42-52
METER_D1_014253,00-00-00-00-00-01-42-53
METER_D1_014258,00-00-00-00-00-01-42-58
METER_D1_014259,00-00-00-00-00-01-42-59
METER_D1_014256,00-00-00-00-00-01-42-56
METER_D1_014257,00-00-00-00-00-01-42-57
METER_D1_014249,00-00-00-00-00-01-42-49
METER_D1_002272,00-00-00-00-00-00-22-72
METER_D1_002271,00-00-00-00-00-00-22-71
METER_D1_002270,00-00-00-00-00-00-22-70
METER_D1_026241,00-00-00-00-00-02-62-41
METER_D1_026240,00-00-00-00-00-02-62-40
METER_D1_002276,00-00-00-00-00-00-22-76
METER_D1_026243,00-00-00-00-00-02-62-43
METER_D1_002275,00-00-00-00-00-00-22-75
METER_D1_026242,00-00-00-00-00-02-62-42
METER_D1_002274,00-00-00-00-00-00-22-74
METER_D1_026245,00-00-00-00-00-02-62-45
METER_D1_002273,00-00-00-00-00-00-22-73
METER_D1_026244,00-00-00-00-00-02-62-44
METER_D1_026247,00-00-00-00-00-02-62-47
METER_D1_002279,00-00-00-00-00-00-22-79
METER_D1_026246,00-00-00-00-00-02-62-46
METER_D1_002278,00-00-00-00-00-00-22-78
METER_D1_026249,00-00-00-00-00-02-62-49
METER_D1_002277,00-00-00-00-00-00-22-77
METER_D1_026248,00-00-00-00-00-02-62-48
METER_D1_026229,00-00-00-00-00-02-62-29
METER_D1_026228,00-00-00-00-00-02-62-28
METER_D1_014261,00-00-00-00-00-01-42-61
METER_D1_014262,00-00-00-00-00-01-42-62
METER_D1_014260,00-00-00-00-00-01-42-60
METER_D1_014265,00-00-00-00-00-01-42-65
METER_D1_014266,00-00-00-00-00-01-42-66
METER_D1_014263,00-00-00-00-00-01-42-63
METER_D1_014264,00-00-00-00-00-01-42-64
METER_D1_014269,00-00-00-00-00-01-42-69
METER_D1_014267,00-00-00-00-00-01-42-67
METER_D1_014268,00-00-00-00-00-01-42-68
METER_D1_002283,00-00-00-00-00-00-22-83
METER_D1_028891,00-00-00-00-00-02-88-91
METER_D1_002282,00-00-00-00-00-00-22-82
METER_D1_028892,00-00-00-00-00-02-88-92
METER_D1_002281,00-00-00-00-00-00-22-81
METER_D1_026230,00-00-00-00-00-02-62-30
METER_D1_002280,00-00-00-00-00-00-22-80
METER_D1_028890,00-00-00-00-00-02-88-90
METER_D1_002287,00-00-00-00-00-00-22-87
METER_D1_026232,00-00-00-00-00-02-62-32
METER_D1_028895,00-00-00-00-00-02-88-95
METER_D1_002286,00-00-00-00-00-00-22-86
METER_D1_026231,00-00-00-00-00-02-62-31
METER_D1_028896,00-00-00-00-00-02-88-96
METER_D1_002285,00-00-00-00-00-00-22-85
METER_D1_026234,00-00-00-00-00-02-62-34
METER_D1_028893,00-00-00-00-00-02-88-93
METER_D1_002284,00-00-00-00-00-00-22-84
METER_D1_026233,00-00-00-00-00-02-62-33
METER_D1_028894,00-00-00-00-00-02-88-94
METER_D1_026236,00-00-00-00-00-02-62-36
METER_D1_028899,00-00-00-00-00-02-88-99
METER_D1_026235,00-00-00-00-00-02-62-35
METER_D1_002289,00-00-00-00-00-00-22-89
METER_D1_026238,00-00-00-00-00-02-62-38
METER_D1_028897,00-00-00-00-00-02-88-97
METER_D1_002288,00-00-00-00-00-00-22-88
METER_D1_026237,00-00-00-00-00-02-62-37
METER_D1_028898,00-00-00-00-00-02-88-98
METER_D1_002207,00-00-00-00-00-00-22-07
METER_D1_028837,00-00-00-00-00-02-88-37
METER_D1_002206,00-00-00-00-00-00-22-06
METER_D1_028838,00-00-00-00-00-02-88-38
METER_D1_002205,00-00-00-00-00-00-22-05
METER_D1_028835,00-00-00-00-00-02-88-35
METER_D1_002204,00-00-00-00-00-00-22-04
METER_D1_028836,00-00-00-00-00-02-88-36
METER_D1_004866,00-00-00-00-00-00-48-66
METER_D1_004867,00-00-00-00-00-00-48-67
METER_D1_002209,00-00-00-00-00-00-22-09
METER_D1_004868,00-00-00-00-00-00-48-68
METER_D1_028839,00-00-00-00-00-02-88-39
METER_D1_002208,00-00-00-00-00-00-22-08
METER_D1_004869,00-00-00-00-00-00-48-69
METER_D1_016851,00-00-00-00-00-01-68-51
METER_D1_016850,00-00-00-00-00-01-68-50
METER_D1_016855,00-00-00-00-00-01-68-55
METER_D1_016854,00-00-00-00-00-01-68-54
METER_D1_016853,00-00-00-00-00-01-68-53
METER_D1_016852,00-00-00-00-00-01-68-52
METER_D1_016848,00-00-00-00-00-01-68-48
METER_D1_016847,00-00-00-00-00-01-68-47
METER_D1_016846,00-00-00-00-00-01-68-46
METER_D1_016845,00-00-00-00-00-01-68-45
METER_D1_016849,00-00-00-00-00-01-68-49
METER_D1_002210,00-00-00-00-00-00-22-10
METER_D1_004873,00-00-00-00-00-00-48-73
METER_D1_028840,00-00-00-00-00-02-88-40
METER_D1_004874,00-00-00-00-00-00-48-74
METER_D1_028841,00-00-00-00-00-02-88-41
METER_D1_004875,00-00-00-00-00-00-48-75
METER_D1_004876,00-00-00-00-00-00-48-76
METER_D1_002214,00-00-00-00-00-00-22-14
METER_D1_028844,00-00-00-00-00-02-88-44
METER_D1_002213,00-00-00-00-00-00-22-13
METER_D1_004870,00-00-00-00-00-00-48-70
METER_D1_028845,00-00-00-00-00-02-88-45
METER_D1_002212,00-00-00-00-00-00-22-12
METER_D1_004871,00-00-00-00-00-00-48-71
METER_D1_028842,00-00-00-00-00-02-88-42
METER_D1_002211,00-00-00-00-00-00-22-11
METER_D1_004872,00-00-00-00-00-00-48-72
METER_D1_028843,00-00-00-00-00-02-88-43
METER_D1_002218,00-00-00-00-00-00-22-18
METER_D1_028826,00-00-00-00-00-02-88-26
METER_D1_002217,00-00-00-00-00-00-22-17
METER_D1_028827,00-00-00-00-00-02-88-27
METER_D1_002216,00-00-00-00-00-00-22-16
METER_D1_028824,00-00-00-00-00-02-88-24
METER_D1_002215,00-00-00-00-00-00-22-15
METER_D1_028825,00-00-00-00-00-02-88-25
METER_D1_004877,00-00-00-00-00-00-48-77
METER_D1_004878,00-00-00-00-00-00-48-78
METER_D1_004879,00-00-00-00-00-00-48-79
METER_D1_028828,00-00-00-00-00-02-88-28
METER_D1_002219,00-00-00-00-00-00-22-19
METER_D1_028829,00-00-00-00-00-02-88-29
METER_D1_016862,00-00-00-00-00-01-68-62
METER_D1_014200,00-00-00-00-00-01-42-00
METER_D1_016861,00-00-00-00-00-01-68-61
METER_D1_016860,00-00-00-00-00-01-68-60
METER_D1_014203,00-00-00-00-00-01-42-03
METER_D1_016866,00-00-00-00-00-01-68-66
METER_D1_014204,00-00-00-00-00-01-42-04
METER_D1_016865,00-00-00-00-00-01-68-65
METER_D1_014201,00-00-00-00-00-01-42-01
METER_D1_016864,00-00-00-00-00-01-68-64
METER_D1_014202,00-00-00-00-00-01-42-02
METER_D1_016863,00-00-00-00-00-01-68-63
METER_D1_016859,00-00-00-00-00-01-68-59
METER_D1_016858,00-00-00-00-00-01-68-58
METER_D1_016857,00-00-00-00-00-01-68-57
METER_D1_016856,00-00-00-00-00-01-68-56
METER_D1_002221,00-00-00-00-00-00-22-21
METER_D1_004884,00-00-00-00-00-00-48-84
METER_D1_002220,00-00-00-00-00-00-22-20
METER_D1_004885,00-00-00-00-00-00-48-85
METER_D1_028830,00-00-00-00-00-02-88-30
METER_D1_004886,00-00-00-00-00-00-48-86
METER_D1_004887,00-00-00-00-00-00-48-87
METER_D1_002225,00-00-00-00-00-00-22-25
METER_D1_004880,00-00-00-00-00-00-48-80
METER_D1_028833,00-00-00-00-00-02-88-33
METER_D1_002224,00-00-00-00-00-00-22-24
METER_D1_004881,00-00-00-00-00-00-48-81
METER_D1_028834,00-00-00-00-00-02-88-34
METER_D1_002223,00-00-00-00-00-00-22-23
METER_D1_004882,00-00-00-00-00-00-48-82
METER_D1_028831,00-00-00-00-00-02-88-31
METER_D1_002222,00-00-00-00-00-00-22-22
METER_D1_004883,00-00-00-00-00-00-48-83
METER_D1_028832,00-00-00-00-00-02-88-32
METER_D1_002229,00-00-00-00-00-00-22-29
METER_D1_028859,00-00-00-00-00-02-88-59
METER_D1_002228,00-00-00-00-00-00-22-28
METER_D1_002227,00-00-00-00-00-00-22-27
METER_D1_028857,00-00-00-00-00-02-88-57
METER_D1_002226,00-00-00-00-00-00-22-26
METER_D1_028858,00-00-00-00-00-02-88-58
METER_D1_004888,00-00-00-00-00-00-48-88
METER_D1_004889,00-00-00-00-00-00-48-89
METER_D1_014210,00-00-00-00-00-01-42-10
METER_D1_016873,00-00-00-00-00-01-68-73
METER_D1_014211,00-00-00-00-00-01-42-11
METER_D1_016872,00-00-00-00-00-01-68-72
METER_D1_016871,00-00-00-00-00-01-68-71
METER_D1_016870,00-00-00-00-00-01-68-70
METER_D1_014214,00-00-00-00-00-01-42-14
METER_D1_016877,00-00-00-00-00-01-68-77
METER_D1_014215,00-00-00-00-00-01-42-15
METER_D1_016876,00-00-00-00-00-01-68-76
METER_D1_014212,00-00-00-00-00-01-42-12
METER_D1_016875,00-00-00-00-00-01-68-75
METER_D1_014213,00-00-00-00-00-01-42-13
METER_D1_016874,00-00-00-00-00-01-68-74
METER_D1_014207,00-00-00-00-00-01-42-07
METER_D1_014208,00-00-00-00-00-01-42-08
METER_D1_016869,00-00-00-00-00-01-68-69
METER_D1_014205,00-00-00-00-00-01-42-05
METER_D1_016868,00-00-00-00-00-01-68-68
METER_D1_004890,00-00-00-00-00-00-48-90
METER_D1_014206,00-00-00-00-00-01-42-06
METER_D1_016867,00-00-00-00-00-01-68-67
METER_D1_014209,00-00-00-00-00-01-42-09
METER_D1_002232,00-00-00-00-00-00-22-32
METER_D1_004895,00-00-00-00-00-00-48-95
METER_D1_028862,00-00-00-00-00-02-88-62
METER_D1_002231,00-00-00-00-00-00-22-31
METER_D1_004896,00-00-00-00-00-00-48-96
METER_D1_028863,00-00-00-00-00-02-88-63
METER_D1_002230,00-00-00-00-00-00-22-30
METER_D1_004897,00-00-00-00-00-00-48-97
METER_D1_026201,00-00-00-00-00-02-62-01
METER_D1_028860,00-00-00-00-00-02-88-60
METER_D1_004898,00-00-00-00-00-00-48-98
METER_D1_026200,00-00-00-00-00-02-62-00
METER_D1_028861,00-00-00-00-00-02-88-61
METER_D1_002236,00-00-00-00-00-00-22-36
METER_D1_004891,00-00-00-00-00-00-48-91
METER_D1_026203,00-00-00-00-00-02-62-03
METER_D1_028866,00-00-00-00-00-02-88-66
METER_D1_002235,00-00-00-00-00-00-22-35
METER_D1_004892,00-00-00-00-00-00-48-92
METER_D1_026202,00-00-00-00-00-02-62-02
METER_D1_028867,00-00-00-00-00-02-88-67
METER_D1_002234,00-00-00-00-00-00-22-34
METER_D1_004893,00-00-00-00-00-00-48-93
METER_D1_026205,00-00-00-00-00-02-62-05
METER_D1_028864,00-00-00-00-00-02-88-64
METER_D1_002233,00-00-00-00-00-00-22-33
METER_D1_004894,00-00-00-00-00-00-48-94
METER_D1_026204,00-00-00-00-00-02-62-04
METER_D1_028865,00-00-00-00-00-02-88-65
METER_D1_028848,00-00-00-00-00-02-88-48
METER_D1_002239,00-00-00-00-00-00-22-39
METER_D1_028849,00-00-00-00-00-02-88-49
METER_D1_002238,00-00-00-00-00-00-22-38
METER_D1_028846,00-00-00-00-00-02-88-46
METER_D1_002237,00-00-00-00-00-00-22-37
METER_D1_028847,00-00-00-00-00-02-88-47
METER_D1_004899,00-00-00-00-00-00-48-99
METER_D1_016880,00-00-00-00-00-01-68-80
METER_D1_014221,00-00-00-00-00-01-42-21
METER_D1_016884,00-00-00-00-00-01-68-84
METER_D1_014222,00-00-00-00-00-01-42-22
METER_D1_016883,00-00-00-00-00-01-68-83
METER_D1_016882,00-00-00-00-00-01-68-82
METER_D1_014220,00-00-00-00-00-01-42-20
METER_D1_016881,00-00-00-00-00-01-68-81
METER_D1_014225,00-00-00-00-00-01-42-25
METER_D1_016888,00-00-00-00-00-01-68-88
METER_D1_014226,00-00-00-00-00-01-42-26
METER_D1_016887,00-00-00-00-00-01-68-87
METER_D1_014223,00-00-00-00-00-01-42-23
METER_D1_016886,00-00-00-00-00-01-68-86
METER_D1_014224,00-00-00-00-00-01-42-24
METER_D1_016885,00-00-00-00-00-01-68-85
METER_D1_014218,00-00-00-00-00-01-42-18
METER_D1_014219,00-00-00-00-00-01-42-19
METER_D1_014216,00-00-00-00-00-01-42-16
METER_D1_016879,00-00-00-00-00-01-68-79
METER_D1_014217,00-00-00-00-00-01-42-17
METER_D1_016878,00-00-00-00-00-01-68-78
METER_D1_002243,00-00-00-00-00-00-22-43
METER_D1_028851,00-00-00-00-00-02-88-51
METER_D1_002242,00-00-00-00-00-00-22-42
METER_D1_028852,00-00-00-00-00-02-88-52
METER_D1_002241,00-00-00-00-00-00-22-41
METER_D1_002240,00-00-00-00-00-00-22-40
METER_D1_028850,00-00-00-00-00-02-88-50
METER_D1_002247,00-00-00-00-00-00-22-47
METER_D1_028855,00-00-00-00-00-02-88-55
METER_D1_002246,00-00-00-00-00-00-22-46
METER_D1_028856,00-00-00-00-00-02-88-56
METER_D1_002245,00-00-00-00-00-00-22-45
METER_D1_028853,00-00-00-00-00-02-88-53
METER_D1_002244,00-00-00-00-00-00-22-44
METER_D1_028854,00-00-00-00-00-02-88-54
METER_D1_026290,00-00-00-00-00-02-62-90
METER_D1_026292,00-00-00-00-00-02-62-92
METER_D1_026291,00-00-00-00-00-02-62-91
METER_D1_026294,00-00-00-00-00-02-62-94
METER_D1_026293,00-00-00-00-00-02-62-93
METER_D1_026296,00-00-00-00-00-02-62-96
METER_D1_026295,00-00-00-00-00-02-62-95
METER_D1_026298,00-00-00-00-00-02-62-98
METER_D1_026297,00-00-00-00-00-02-62-97
METER_D1_026299,00-00-00-00-00-02-62-99
METER_D1_014272,00-00-00-00-00-01-42-72
METER_D1_014273,00-00-00-00-00-01-42-73
METER_D1_014270,00-00-00-00-00-01-42-70
METER_D1_014271,00-00-00-00-00-01-42-71
METER_D1_014276,00-00-00-00-00-01-42-76
METER_D1_014277,00-00-00-00-00-01-42-77
METER_D1_014274,00-00-00-00-00-01-42-74
METER_D1_014275,00-00-00-00-00-01-42-75
METER_D1_014278,00-00-00-00-00-01-42-78
METER_D1_014279,00-00-00-00-00-01-42-79
METER_D1_002290,00-00-00-00-00-00-22-90
METER_D1_002294,00-00-00-00-00-00-22-94
METER_D1_026261,00-00-00-00-00-02-62-61
METER_D1_002293,00-00-00-00-00-00-22-93
METER_D1_026260,00-00-00-00-00-02-62-60
METER_D1_002292,00-00-00-00-00-00-22-92
METER_D1_026263,00-00-00-00-00-02-62-63
METER_D1_002291,00-00-00-00-00-00-22-91
METER_D1_026262,00-00-00-00-00-02-62-62
METER_D1_002298,00-00-00-00-00-00-22-98
METER_D1_026265,00-00-00-00-00-02-62-65
METER_D1_002297,00-00-00-00-00-00-22-97
METER_D1_026264,00-00-00-00-00-02-62-64
METER_D1_002296,00-00-00-00-00-00-22-96
METER_D1_026267,00-00-00-00-00-02-62-67
METER_D1_002295,00-00-00-00-00-00-22-95
METER_D1_026266,00-00-00-00-00-02-62-66
METER_D1_026269,00-00-00-00-00-02-62-69
METER_D1_026268,00-00-00-00-00-02-62-68
METER_D1_002299,00-00-00-00-00-00-22-99
METER_D1_014280,00-00-00-00-00-01-42-80
METER_D1_014283,00-00-00-00-00-01-42-83
METER_D1_014284,00-00-00-00-00-01-42-84
METER_D1_014281,00-00-00-00-00-01-42-81
METER_D1_014282,00-00-00-00-00-01-42-82
METER_D1_014287,00-00-00-00-00-01-42-87
METER_D1_014288,00-00-00-00-00-01-42-88
METER_D1_014285,00-00-00-00-00-01-42-85
METER_D1_014286,00-00-00-00-00-01-42-86
